Brand,Model,Body_Type,Variant,Drive_Train,Engine,Horsepower,Transmission,Fuel_Type,Ground_Clearance,Cargo_space,Seating_Capacity,Price
Toyota,Vios,Sedan,1.3 J MT,FWD,1.3L ; In-line 4,98.0,5-Speed ; Manual,Gasoline,13.3,326.0,5,732000.0
Toyota,Vios,Sedan,1.3 XE CVT,FWD,1.3L ; In-line 4,98.0,CVT,Gasoline,13.3,326.0,5,774000.0
Toyota,Vios,Sedan,1.3 XLE MT,FWD,1.3L ; In-line 4,98.0,5-Speed ; Manual,Gasoline,13.3,326.0,5,862000.0
Toyota,Vios,Sedan,1.3 XLE CVT,FWD,1.3L ; In-line 4,98.0,CVT,Gasoline,13.3,326.0,5,902000.0
Toyota,Vios,Sedan,1.5 G MT,FWD,1.5L ; In-line 4,106.0,5-Speed ; Manual,Gasoline,13.3,326.0,5,979000.0
Toyota,Vios,Sedan,1.5 G CVT,FWD,1.5L ; In-line 4,106.0,CVT,Gasoline,13.3,326.0,5,1039000.0
Toyota,Hilux,Truck,2.4 4x2 M/T,4x2,2.4L ; 4 Cylinder,148.0,5-Speed ; Manual,Diesel,27.9,435.0,3,885000.0
Toyota,Hilux,Truck,2.4 J DSL 4x2 M/T,4x2,2.4L ; 4 Cylinder,148.0,5-Speed ; Manual,Diesel,27.9,435.0,5,995000.0
Toyota,Hilux,Truck,2.4L 4x2 Cargo M/T,2WD,2.4L ; 4 Cylinder,148.0,5-Speed ; Manual,Diesel,27.9,435.0,3,1001000.0
Toyota,Hilux,Truck,2.4L J 4x4 M/T,2WD,2.4L ; 4 Cylinder,148.0,5-Speed ; Manual,Diesel,27.9,435.0,3,1124000.0
Toyota,Hilux,Truck,2.4L J 4x4 M/T,4x4,2.4L ; 4 Cylinder,148.0,6-Speed ; Manual,Diesel,27.9,435.0,5,1195000.0
Toyota,Hilux,Truck,2.4 E DSL 4x2 M/T,4x2,2.4L ; 4 Cylinder,148.0,6-Speed ; Manual,Diesel,27.9,435.0,5,1312000.0
Toyota,Hilux,Truck,2.4 G DSL 4x2 M/T,4x2,2.4L ; 4 Cylinder,148.0,6-Speed ; Manual,Diesel,27.9,435.0,5,1390000.0
Toyota,Hilux,Truck,2.4 E 4x2 A/T,4x2,2.4L ; 4 Cylinder,148.0,6-Speed ; Automatic,Diesel,27.9,435.0,5,1392000.0
Toyota,Hilux,Truck,2.4 G DSL 4x2 A/T,4x2,2.4L ; 4 Cylinder,148.0,6-Speed ; Automatic,Diesel,27.9,435.0,5,1466000.0
Toyota,Hilux,Truck,2.8 4x4 M/T,4x4,2.8L ; 4 Cylinder,201.0,6-Speed ; Manual,Diesel,27.9,435.0,5,1675000.0
Toyota,Hilux,Truck,2.8 4x4 A/T,4x4,2.8L ; 4 Cylinder,201.0,6-Speed ; Automatic,Diesel,27.9,435.0,5,2078000.0
Toyota,Hilux,Truck,GR Sport,4x4,2.8L ; 4 Cylinder,201.0,6-Speed ; Automatic,Diesel,27.9,435.0,5,2172000.0
Toyota,Raize,Crossover,1.2 E M/T,FWD,1.2L ; In-line 3,87.0,5-Speed ; Manual,Gasoline,20.0,369.0,5,751000.0
Toyota,Raize,Crossover,1.2 E CVT,FWD,1.2L ; In-line 3,87.0,CVT,Gasoline,20.0,369.0,5,841000.0
Toyota,Raize,Crossover,1.2 G CVT,FWD,1.2L ; In-line 3,87.0,CVT,Gasoline,20.0,369.0,5,936000.0
